Scenario Number,nGenos,nEnvs,nBlocks
1,1000,1,1
2,500,2,1
3,250,4,1
4,200,5,1
5,1000,1,2
6,500,2,2
7,250,4,2
8,200,5,2
9,1000,1,3
10,500,2,3
11,250,4,3
12,200,5,3
13,1000,1,4
14,500,2,4
15,250,4,4
16,200,5,4
17,2000,1,1
18,1000,2,1
19,500,4,1
20,250,8,1
21,2000,1,2
22,1000,2,2
23,500,4,2
24,250,8,2
25,2000,1,3
26,1000,2,3
27,500,4,3
28,250,8,3
29,2000,1,4
30,1000,2,4
31,500,4,4
32,250,8,4
33,3000,1,1
34,1500,2,1
35,750,4,1
36,600,5,1
37,3000,1,2
38,1500,2,2
39,750,4,2
40,600,5,2
41,3000,1,3
42,1500,2,3
43,750,4,3
44,600,5,3
45,3000,1,4
46,1500,2,4
47,750,4,4
48,600,5,4
49,600,10,4
50,600,15,4
51,600,20,4
52,600,25,4
